city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
diego de almagro,cl,2017-09-09 10:36:36,-70.05,-26.37,53.0,83.0,44.0,3.71
dikson,ru,2017-09-09 10:36:36,80.55,73.51,39.5,100.0,32.0,18.48
dingle,ie,2017-09-09 10:36:36,-10.27,52.14,58.22,97.0,100.0,20.49
dinguiraye,gn,2017-09-09 10:36:37,-10.72,11.3,75.59,100.0,44.0,5.39
doctor pedro p. pena,py,2017-09-09 10:00:00,-57.53,-25.33,95.0,30.0,0.0,12.75
doha,kw,2017-09-09 10:00:00,47.92,29.33,102.2,10.0,0.0,1.12
dolores,ar,2017-09-09 10:36:38,-57.68,-36.31,63.89,100.0,92.0,10.31
domoni,km,2017-09-09 10:36:38,44.53,-12.26,78.65,98.0,8.0,1.59
donskoye,ru,2017-09-09 10:00:00,41.97,45.46,71.6,43.0,0.0,6.71
dunmore town,bs,2017-09-09 10:32:51,-76.65,25.5,87.2,94.0,88.0,32.68
dwarka,in,2017-09-09 10:36:39,68.97,22.24,79.28,100.0,0.0,6.73
east london,za,2017-09-09 10:00:00,27.91,-33.02,66.2,72.0,20.0,8.05
eirunepe,br,2017-09-09 10:36:39,-69.87,-6.66,89.99,59.0,56.0,2.59
ejura,gh,2017-09-09 10:36:39,-1.36,7.39,81.62,76.0,64.0,4.27
el alto,pe,2017-09-09 10:00:00,-81.21,-4.27,77.0,65.0,0.0,17.22
elbistan,tr,2017-09-09 10:36:40,37.2,38.21,55.52,65.0,0.0,2.48
ellisras,za,2017-09-09 10:36:40,27.74,-23.66,76.31,24.0,0.0,10.65
epe,ng,2017-09-09 10:36:40,3.98,6.58,77.48,90.0,36.0,9.19
eskisehir,tr,2017-09-09 09:50:00,30.52,39.78,73.4,38.0,0.0,5.82
eyl,so,2017-09-09 10:36:41,49.82,7.98,80.27,76.0,0.0,21.94
fatehpur sikri,in,2017-09-09 10:36:41,77.67,27.1,79.55,85.0,12.0,2.15
filadelfia,py,2017-09-09 10:36:41,-60.03,-22.35,95.84,42.0,0.0,22.84
fontem,cm,2017-09-09 10:36:42,9.88,5.47,66.14,99.0,88.0,2.04
formosa,ar,2017-09-09 10:00:00,-58.18,-26.18,96.8,34.0,0.0,12.75
formoso do araguaia,br,2017-09-09 10:36:42,-49.07,-11.73,95.39,33.0,8.0,8.41
gagnoa,ci,2017-09-09 10:00:00,-5.94,6.13,84.2,79.0,75.0,3.6
gamba,ga,2017-09-09 10:36:43,10.0,-2.65,76.4,80.0,100.0,10.98
gamboma,cg,2017-09-09 10:36:43,15.86,-1.88,76.13,88.0,20.0,3.38
gat,ly,2017-09-09 09:50:00,24.76,60.15,59.0,93.0,75.0,9.17
general pico,ar,2017-09-09 10:36:44,-63.76,-35.66,59.3,76.0,92.0,14.12
general roca,ar,2017-09-09 10:00:00,-67.58,-39.03,42.8,87.0,75.0,4.7
georgetown,us,2017-09-09 10:15:00,-97.68,30.63,80.6,44.0,1.0,8.05
georgetown,sh,2017-09-09 10:36:44,-14.42,-7.93,74.6,100.0,80.0,17.13
georgetown,gy,2017-09-09 10:00:00,-58.16,6.8,93.2,59.0,40.0,11.41
geraldton,au,2017-09-09 10:00:00,114.6,-28.77,51.8,93.0,40.0,5.82
ginir,et,2017-09-09 10:36:45,40.7,7.13,62.99,83.0,8.0,5.95
goderich,sl,2017-09-09 09:00:00,-13.29,8.43,82.4,78.0,75.0,6.93
goma,cd,2017-09-09 10:36:45,29.22,-1.68,62.0,95.0,64.0,0.02
gornopravdinsk,ru,2017-09-09 10:36:46,69.9,60.05,44.81,69.0,88.0,10.2
grand gaube,mu,2017-09-09 10:00:00,57.66,-20.01,73.4,60.0,75.0,17.22
grand river south east,mu,2017-09-09 10:00:00,57.78,-20.29,73.4,60.0,75.0,17.22
grevesmuhlen,de,2017-09-09 09:50:00,11.18,53.87,59.0,93.0,40.0,6.93
guanica,us,2017-09-09 09:50:00,-66.92,17.99,86.0,70.0,40.0,14.99
guapi,co,2017-09-09 10:36:47,-77.89,2.57,77.3,91.0,92.0,2.71
gwanda,zw,2017-09-09 10:36:47,29.0,-20.93,72.71,21.0,0.0,12.77
hambantota,lk,2017-09-09 10:36:48,81.12,6.12,77.12,100.0,68.0,16.02
hamilton,bm,2017-09-09 09:55:00,-64.78,32.29,86.0,66.0,75.0,9.17
hauterive,ca,2017-09-09 10:00:00,-73.69,45.57,66.2,55.0,75.0,5.82
havelock,us,2017-09-09 09:58:00,-76.9,34.88,78.8,47.0,1.0,12.75
havoysund,no,2017-09-09 09:50:00,24.66,71.0,50.0,57.0,0.0,6.93
